ref,legend,row,col,x_mm,y_mm
SW1,F6,ROW0,COL0,12.25,39.5
SW2,F7,ROW0,COL1,22.25,39.5
SW3,F8,ROW0,COL2,32.25,39.5
SW4,F9,ROW0,COL3,42.25,39.5
SW5,F10,ROW0,COL4,52.25,39.5
SW6,DEL,ROW1,COL0,62.25,39.5
SW7,6,ROW1,COL1,12.25,48.5
SW8,7,ROW1,COL2,22.25,48.5
SW9,8,ROW1,COL3,32.25,48.5
SW10,9,ROW1,COL4,42.25,48.5
SW11,0,ROW2,COL0,52.25,48.5
SW12,BSP,ROW2,COL1,62.25,48.5
SW13,Y,ROW2,COL2,12.25,57.5
SW14,U,ROW2,COL3,22.25,57.5
SW15,I,ROW2,COL4,32.25,57.5
SW16,O,ROW3,COL0,42.25,57.5
SW17,P,ROW3,COL1,52.25,57.5
SW18,;,ROW3,COL2,62.25,57.5
SW19,H,ROW3,COL3,12.25,66.5
SW20,J,ROW3,COL4,22.25,66.5
SW21,K,ROW4,COL0,32.25,66.5
SW22,L,ROW4,COL1,42.25,66.5
SW23,ENT,ROW4,COL2,57.25,66.5
SW24,N,ROW4,COL3,12.25,75.5
SW25,M,ROW4,COL4,22.25,75.5
SW26,",",ROW5,COL0,32.25,75.5
SW27,.,ROW5,COL1,42.25,75.5
SW28,/,ROW5,COL2,52.25,75.5
SW29,SHF,ROW5,COL3,62.25,75.5
SW30,SPC,ROW5,COL4,17.25,84.5
SW31,ALT,ROW6,COL0,32.25,84.5
SW32,[,ROW6,COL1,42.25,84.5
SW33,],ROW6,COL2,52.25,84.5
SW34,CTL,ROW6,COL3,62.25,84.5
SW35,PGUP,ROW6,COL4,45.7,12.5
SW36,PGDN,ROW7,COL0,45.7,23.5
